course_name,course_id
 ART 218 ,ART_218
 ECE 323 ,ECE_323
 ART 212 ,ART_212
 GOVT 380 ,GOVT_380
 EGRS 352 ,EGRS_352
 GOVT 220 ,GOVT_220
 EGRS 450 ,EGRS_450
 GOVT 225 ,GOVT_225
 PHYS 220 ,PHYS_220
 PSYC 322L ,PSYC_322L
 MATH 379 ,MATH_379
 CHEM 332 ,CHEM_332
 EDUC 350 ,EDUC_350
 CHEM 213L ,CHEM_213L
 30759 ,30759
 ECE 212 ,ECE_212
 BIOL 225L ,BIOL_225L
 GOVT 315 ,GOVT_315
 PHYS 151 ,PHYS_151
 GOVT 310 ,GOVT_310
 GOVT 313 ,GOVT_313
 ECE 341L ,ECE_341L
 PHYS 451 ,PHYS_451
 A&S 222 ,A&S_222
 A&S 220 ,A&S_220
 30454 ,30454
 30453 ,30453
 30452 ,30452
 PHIL 220 ,PHIL_220
 MATH 264 ,MATH_264
 MATH 263 ,MATH_263
 30779 ,30779
 JAPN 112 ,JAPN_112
 30775 ,30775
 BIOL 496 ,BIOL_496
 30777 ,30777
 30770 ,30770
 30771 ,30771
 30772 ,30772
 CE 413 ,CE_413
 JAPN 291 ,JAPN_291
 CHE 211 ,CHE_211
 30101 ,30101
 SPAN 311 ,SPAN_311
 GRK 102 ,GRK_102
 HIST 113 ,HIST_113
 HIST 112 ,HIST_112
 REL 391 ,REL_391
 FREN 460 ,FREN_460
 REL 250 ,REL_250
 PSYC 232 ,PSYC_232
 MATH 312 ,MATH_312
 EGRS 273 ,EGRS_273
 MUS 154 ,MUS_154
 THTR 265 ,THTR_265
 MUS 151 ,MUS_151
 MUS 150 ,MUS_150
 MUS 153 ,MUS_153
 30706 ,30706
 MUS 158 ,MUS_158
 ECON 300 ,ECON_300
 NEUR 201 ,NEUR_201
 FAMS 220 ,FAMS_220
 RUSS 102 ,RUSS_102
 BIOL 402 ,BIOL_402
 CLSS 320 ,CLSS_320
 CHE 360 ,CHE_360
 FAMS 345 ,FAMS_345
 BIOL 275 ,BIOL_275
 ECON 354 ,ECON_354
 BIOL 277 ,BIOL_277
 MATH 384 ,MATH_384
 ECON 351 ,ECON_351
 HIST 236 ,HIST_236
 HIST 232 ,HIST_232
 EGRS 391 ,EGRS_391
