name,SIS_ID,COURSE_SIS_Id
 01,AFS_102_ 01,AFS_102
 02,AFS_102_ 02,AFS_102
 01,AFS_330_ 01,AFS_330
 01,AFS_391_ 01,AFS_391
 01,AFS_400_ 01,AFS_400
 01,AFS_496_ 01,AFS_496
 01,AGS_201_ 01,AGS_201
 01,AGS_491_ 01,AGS_491
 01,AMS_255_ 01,AMS_255
 01,AMS_496_ 01,AMS_496
 01,A&S_102_ 01,A&S_102
 02,A&S_102_ 02,A&S_102
 03,A&S_102_ 03,A&S_102
 01,A&S_103_ 01,A&S_103
 02,A&S_103_ 02,A&S_103
 01,A&S_201_ 01,A&S_201
 02,A&S_201_ 02,A&S_201
 01,A&S_204_ 01,A&S_204
 01,A&S_220_ 01,A&S_220
 01,A&S_222_ 01,A&S_222
 01,A&S_228_ 01,A&S_228
 01,A&S_229_ 01,A&S_229
 01,A&S_231_ 01,A&S_231
 01,A&S_235_ 01,A&S_235
 01,A&S_239_ 01,A&S_239
 01,A&S_247_ 01,A&S_247
 01,A&S_260_ 01,A&S_260
 01,A&S_271_ 01,A&S_271
 01,A&S_345_ 01,A&S_345
 01,A&S_391_ 01,A&S_391
 01,A&S_496_ 01,A&S_496
 01,ART_102_ 01,ART_102
 02,ART_102_ 02,ART_102
 03,ART_102_ 03,ART_102
 01,ART_107_ 01,ART_107
 01,ART_109_ 01,ART_109
 02,ART_109_ 02,ART_109
 01,ART_114_ 01,ART_114
 01,ART_120_ 01,ART_120
 01,ART_155_ 01,ART_155
 02,ART_155_ 02,ART_155
 01,ART_175_ 01,ART_175
 01,ART_206_ 01,ART_206
 01,ART_209_ 01,ART_209
 01,ART_212_ 01,ART_212
 01,ART_218_ 01,ART_218
 01,ART_235_ 01,ART_235
 01,ART_241_ 01,ART_241
 01,ART_275_ 01,ART_275
 01,ART_340_ 01,ART_340
01,ART_391_01,ART_391
01,ART_393_01,ART_393
01,ART_496_01,ART_496
01,ART_498_01,ART_498
 01,ASIA_101_ 01,ASIA_101
 01,ASIA_270_ 01,ASIA_270
 01,ASIA_490_ 01,ASIA_490
 01,ASIA_496_ 01,ASIA_496
 01,BIOL_102_ 01,BIOL_102
 02,BIOL_102_ 02,BIOL_102
 01,BIOL_102L_ 01,BIOL_102L
 02,BIOL_102L_ 02,BIOL_102L
 03,BIOL_102L_ 03,BIOL_102L
 04,BIOL_102L_ 04,BIOL_102L
 05,BIOL_102L_ 05,BIOL_102L
 06,BIOL_102L_ 06,BIOL_102L
 07,BIOL_102L_ 07,BIOL_102L
 01,BIOL_214_ 01,BIOL_214
 01,BIOL_214L_ 01,BIOL_214L
 02,BIOL_214L_ 02,BIOL_214L
 01,BIOL_224_ 01,BIOL_224
 01,BIOL_225_ 01,BIOL_225
 01,BIOL_225L_ 01,BIOL_225L
 02,BIOL_225L_ 02,BIOL_225L
 01,BIOL_235_ 01,BIOL_235
 01,BIOL_235L_ 01,BIOL_235L
 02,BIOL_235L_ 02,BIOL_235L
 01,BIOL_255_ 01,BIOL_255
 01,BIOL_255L_ 01,BIOL_255L
 02,BIOL_255L_ 02,BIOL_255L
 01,BIOL_275_ 01,BIOL_275
 01,BIOL_275L_ 01,BIOL_275L
 02,BIOL_275L_ 02,BIOL_275L
 01,BIOL_277_ 01,BIOL_277
 01,BIOL_277L_ 01,BIOL_277L
 02,BIOL_277L_ 02,BIOL_277L
01,BIOL_310_01,BIOL_310
 01,BIOL_317_ 01,BIOL_317
 01,BIOL_341_ 01,BIOL_341
 01,BIOL_350_ 01,BIOL_350
 01,BIOL_358_ 01,BIOL_358
 01,BIOL_402_ 01,BIOL_402
 01,BIOL_496_ 01,BIOL_496
 01,CHE_211_ 01,CHE_211
 01,CHE_222_ 01,CHE_222
 01,CHE_321_ 01,CHE_321
 02,CHE_321_ 02,CHE_321
 01,CHE_322_ 01,CHE_322
 02,CHE_322_ 02,CHE_322
 03,CHE_322_ 03,CHE_322
 04,CHE_322_ 04,CHE_322
 01,CHE_324_ 01,CHE_324
 02,CHE_324_ 02,CHE_324
 01,CHE_360_ 01,CHE_360
 02,CHE_360_ 02,CHE_360
 01,CHE_370_ 01,CHE_370
 01,CHE_391_ 01,CHE_391
 01,CHE_393_ 01,CHE_393
 01,CHE_411_ 01,CHE_411
 02,CHE_411_ 02,CHE_411
 01,CHE_422_ 01,CHE_422
 02,CHE_422_ 02,CHE_422
 03,CHE_422_ 03,CHE_422
 01,CHE_496_ 01,CHE_496
 01,CHEM_122_ 01,CHEM_122
 02,CHEM_122_ 02,CHEM_122
 03,CHEM_122_ 03,CHEM_122
 04,CHEM_122_ 04,CHEM_122
 05,CHEM_122_ 05,CHEM_122
 01,CHEM_122L_ 01,CHEM_122L
 02,CHEM_122L_ 02,CHEM_122L
 03,CHEM_122L_ 03,CHEM_122L
 04,CHEM_122L_ 04,CHEM_122L
 05,CHEM_122L_ 05,CHEM_122L
 06,CHEM_122L_ 06,CHEM_122L
 07,CHEM_122L_ 07,CHEM_122L
 08,CHEM_122L_ 08,CHEM_122L
 01,CHEM_212_ 01,CHEM_212
 01,CHEM_213_ 01,CHEM_213
 01,CHEM_213L_ 01,CHEM_213L
 01,CHEM_222_ 01,CHEM_222
 02,CHEM_222_ 02,CHEM_222
 03,CHEM_222_ 03,CHEM_222
 04,CHEM_222_ 04,CHEM_222
 01,CHEM_222L_ 01,CHEM_222L
 02,CHEM_222L_ 02,CHEM_222L
 03,CHEM_222L_ 03,CHEM_222L
 04,CHEM_222L_ 04,CHEM_222L
 05,CHEM_222L_ 05,CHEM_222L
 06,CHEM_222L_ 06,CHEM_222L
 01,CHEM_311_ 01,CHEM_311
 01,CHEM_324_ 01,CHEM_324
 01,CHEM_326_ 01,CHEM_326
 01,CHEM_326L_ 01,CHEM_326L
 01,CHEM_332_ 01,CHEM_332
 01,CHEM_332L_ 01,CHEM_332L
 02,CHEM_332L_ 02,CHEM_332L
 01,CHEM_351_ 01,CHEM_351
 01,CHEM_352_ 01,CHEM_352
 01,CHEM_352L_ 01,CHEM_352L
 01,CHEM_390_ 01,CHEM_390
 01,CHEM_391_ 01,CHEM_391
 01,CHEM_392_ 01,CHEM_392
 01,CHEM_394_ 01,CHEM_394
 01,CHEM_452_ 01,CHEM_452
 01,CHEM_474_ 01,CHEM_474
 01,CHEM_496_ 01,CHEM_496
 01,CHN_102_ 01,CHN_102
 01,CHN_112_ 01,CHN_112
 01,CHN_212_ 01,CHN_212
 01,CHN_312_ 01,CHN_312
 01,CE_201_ 01,CE_201
 01,CE_203_ 01,CE_203
 02,CE_203_ 02,CE_203
 03,CE_203_ 03,CE_203
 01,CE_341_ 01,CE_341
 01,CE_341L_ 01,CE_341L
 02,CE_341L_ 02,CE_341L
 01,CE_351_ 01,CE_351
 02,CE_351L_ 02,CE_351L
 03,CE_351L_ 03,CE_351L
01,CE_392_01,CE_392
 01,CE_413_ 01,CE_413
 01,CE_422_ 01,CE_422
 01,CE_473_ 01,CE_473
 02,CE_473_ 02,CE_473
 01,CE_496_ 01,CE_496
 01,CLSS_230_ 01,CLSS_230
 01,CLSS_320_ 01,CLSS_320
 01,CLSS_375_ 01,CLSS_375
 01,CLSS_460_ 01,CLSS_460
 01,CL_162_ 01,CL_162
 01,CL_163_ 01,CL_163
 01,CM_261_ 01,CM_261
 01,CS_105_ 01,CS_105
 02,CS_105_ 02,CS_105
 01,CS_105L_ 01,CS_105L
 02,CS_105L_ 02,CS_105L
 03,CS_105L_ 03,CS_105L
 01,CS_150_ 01,CS_150
 02,CS_150_ 02,CS_150
 03,CS_150_ 03,CS_150
 01,CS_150L_ 01,CS_150L
 02,CS_150L_ 02,CS_150L
 03,CS_150L_ 03,CS_150L
 01,CS_200_ 01,CS_200
 02,CS_200_ 02,CS_200
 01,CS_205_ 01,CS_205
 02,CS_205_ 02,CS_205
 01,CS_205L_ 01,CS_205L
 02,CS_205L_ 02,CS_205L
 03,CS_205L_ 03,CS_205L
 01,CS_303_ 01,CS_303
 02,CS_303_ 02,CS_303
 01,CS_305_ 01,CS_305
 01,CS_391_ 01,CS_391
 01,CS_470_ 01,CS_470
 01,CS_496_ 01,CS_496
 01,DOC_250_ 01,DOC_250
01,DOC_480_01,DOC_480
 01,ECON_101_ 01,ECON_101
 02,ECON_101_ 02,ECON_101
 03,ECON_101_ 03,ECON_101
 04,ECON_101_ 04,ECON_101
 05,ECON_101_ 05,ECON_101
 06,ECON_101_ 06,ECON_101
 01,ECON_218_ 01,ECON_218
 02,ECON_218_ 02,ECON_218
 03,ECON_218_ 03,ECON_218
 01,ECON_246_ 01,ECON_246
 01B,ECON_246_ 01B,ECON_246
 01,ECON_251_ 01,ECON_251
 02,ECON_251_ 02,ECON_251
 03,ECON_251_ 03,ECON_251
 01,ECON_252_ 01,ECON_252
 02,ECON_252_ 02,ECON_252
 03,ECON_252_ 03,ECON_252
 01,ECON_253_ 01,ECON_253
 02,ECON_253_ 02,ECON_253
 03,ECON_253_ 03,ECON_253
 01,ECON_255_ 01,ECON_255
 01,ECON_300_ 01,ECON_300
 01,ECON_319_ 01,ECON_319
 02,ECON_319_ 02,ECON_319
 01,ECON_320_ 01,ECON_320
 02,ECON_320_ 02,ECON_320
 01,ECON_321_ 01,ECON_321
 01,ECON_323_ 01,ECON_323
 01,ECON_324_ 01,ECON_324
 01,ECON_325_ 01,ECON_325
 01,ECON_328_ 01,ECON_328
 01,ECON_339_ 01,ECON_339
 01,ECON_351_ 01,ECON_351
 01,ECON_354_ 01,ECON_354
 01,ECON_367_ 01,ECON_367
 01,ECON_371_ 01,ECON_371
 01,ECON_391_ 01,ECON_391
 01,ECON_496_ 01,ECON_496
 01,EDUC_150_ 01,EDUC_150
 01,EDUC_350_ 01,EDUC_350
 01,ECE_212_ 01,ECE_212
 01,ECE_212L_ 01,ECE_212L
 02,ECE_212L_ 02,ECE_212L
 01,ECE_221_ 01,ECE_221
 01,ECE_221L_ 01,ECE_221L
 02,ECE_221L_ 02,ECE_221L
 01,ECE_323_ 01,ECE_323
 01,ECE_323L_ 01,ECE_323L
 02,ECE_323L_ 02,ECE_323L
 01,ECE_332_ 01,ECE_332
 01,ECE_341_ 01,ECE_341
 01,ECE_341L_ 01,ECE_341L
 01,ECE_391_ 01,ECE_391
 01,ECE_425_ 01,ECE_425
 01,ECE_425L_ 01,ECE_425L
 01,ECE_492_ 01,ECE_492
 01,ECE_492L_ 01,ECE_492L
 02,ECE_492L_ 02,ECE_492L
 01,ECE_496_ 01,ECE_496
 01,ES_226_ 01,ES_226
 02,ES_226_ 02,ES_226
 03,ES_226_ 03,ES_226
 04,ES_226_ 04,ES_226
 05,ES_226_ 05,ES_226
 06,ES_226_ 06,ES_226
 01,ES_230_ 01,ES_230
 01,ES_231_ 01,ES_231
 02,ES_231_ 02,ES_231
 03,ES_231_ 03,ES_231
 04,ES_231_ 04,ES_231
 01,EGRS_152_ 01,EGRS_152
 01,EGRS_230_ 01,EGRS_230
 01,EGRS_261_ 01,EGRS_261
 01,EGRS_273_ 01,EGRS_273
 01,EGRS_281_ 01,EGRS_281
 01,EGRS_352_ 01,EGRS_352
 01,EGRS_391_ 01,EGRS_391
 01,EGRS_450_ 01,EGRS_450
 01,EGRS_480_ 01,EGRS_480
 02,EGRS_480_ 02,EGRS_480
 01,EGRS_482_ 01,EGRS_482
 01,EGRS_496_ 01,EGRS_496
 01,ENG_100_ 01,ENG_100
 02,ENG_100_ 02,ENG_100
